art_code,page,name,categories,subcategory,size_label,brochure_sizes,caption,image
RK-010005-3050,9,Radha Krishna with Peacocks,All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×5 ft (36×60 in),3 ft (H) * 5 ft (B); 2 ft (H) * 3 ft (B),"This divine image of Radha-Krishna with peacocks enhances love, harmony, prosperity, and positive energy in the home as per Vastu.",p9-RK-010005-3050.jpg
RK-010006-3040,10,Radha and Krishna in Bloom,All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×4 ft (36×48 in),3 ft (H) * 4 ft (B); 2 ft (H) * 3 ft (B),"This image of Radha and Krishna symbolizes eternal love, harmony, and devotion; in Vastu, placing it in the bedroom or northeast direction enhances marital bliss, unity, and positive relationships.",p10-RK-010006-3040.jpg
RK-010011-5030,15,Krishna's Flute in Watercolour,All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 2 ft (B),"An ethereal portrayal of sacred calm and celestial beauty, where Lord Krishna’s flute whispers the music of the soul.",p15-RK-010011-5030.jpg
RK-010015-3050,19,Radha Krishna in the Painted Forest,All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×5 ft (36×60 in),3 ft (H) * 5 ft (B); 2 ft (H) * 3.5 ft (B),Radha-Krishna painting radiates eternal bliss; placing in bedroom or northeast enhances marital harmony and peace.,p19-RK-010015-3050.jpg
RK-010016-3040,20,Radha and Krishna in Gold Relief,All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×4 ft (36×48 in),3 ft (H) * 4 ft (B); 2 ft (H) * 3 ft (B),Radha-Krishna represents eternal love and devotion; placing in bedroom or living room enhances bonding and positive energy.,p20-RK-010016-3040.jpg
RK-010017-5030,21,Krishna in Black and Marigold,All Art Prints|Deals & Discounts|Digital Canvas Prints|Abstract Art,Radha Krishna,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A striking contemporary portrait of Lord Krishna featuring bold black tones, vibrant golden florals, and a radiant peacock feather, symbolizing divine grace, beauty, and eternal devotion.",p21-RK-010017-5030.jpg
RK-010021-4030,25,Vishnu Resting on Sheshnag,All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 2 ft (H) * 3 ft (B),"The image of Lord Vishnu resting on Sheshnag is auspicious in Vastu, as placing it in the northeast direction brings protection, stability, and balance to the home and life.",p25-RK-010021-4030.jpg
RK-010023-3050,27,Krishna in Blue and Gold,All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×5 ft (36×60 in),3 ft (H) * 5 ft (B); 3 ft (H) * 4 ft (B),"Lord Krishna playing the flute, adorned in blue and gold with a peacock feather crown.",p27-RK-010023-3050.jpg
RK-010035-4030,39,Bal Krishna the Makhan Chor,All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),"The image of Bal Krishna (Makhan Chor) is auspicious in Vastu, as placing it in the northeast direction brings joy, innocence, prosperity, and positivity to the home.",p39-RK-010035-4030.jpg
RK-010036-3060,40,Blue Krishna with His Flute,All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×5 ft (36×60 in),3 ft (H) * 6 ft (B); 2 ft (H) * 4 ft (B),"This image of Lord Krishna playing the flute symbolizes peace, love, and divine harmony, making it highly auspicious in Vastu for attracting positivity and blissful energy at home.",p40-RK-010036-3060.jpg
