art_code,page,name,categories,subcategory,size_label,brochure_sizes,caption,image
WL-170002-5030,260,Elephant Beneath the Red Sun,All Art Prints|Deals & Discounts|Digital Canvas Prints,Wildlife,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),Strength meets serenity — a stunning blend of nature and art that celebrates the spirit of resilience.,p260-WL-170002-5030.jpg
WL-170004-5030,262,Leopard Between Crimson Pillars,All Art Prints|Deals & Discounts|Digital Canvas Prints,Wildlife,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),Regal leopard resting between crimson pillars with cascading orchids.,p262-WL-170004-5030.jpg
WL-170005-5030,263,Giraffes Beneath the Palm,All Art Prints|Deals & Discounts|Digital Canvas Prints,Wildlife,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),Rooted in nature crafted with creativity — where art meets life.,p263-WL-170005-5030.jpg
WL-170006-5030,264,Peacocks in the Blossom Garden,All Art Prints|Deals & Discounts|Digital Canvas Prints,Wildlife,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),Two peacocks in a dreamy floral garden with butterflies.,p264-WL-170006-5030.jpg
WL-170008-3020,266,Folk Art Deer Beneath the Tree,All Art Prints|Deals & Discounts|Digital Canvas Prints|Indian Culture,Wildlife,3×2 ft (36×24 in),3 ft (H) * 2 ft (B); 2 ft (H) * 1 ft (B),Celebrate nature's rhythm — where colors and culture come alive.,p266-WL-170008-3020.jpg
WL-170009-4030,267,Zebra Tree of Life,All Art Prints|Deals & Discounts|Digital Canvas Prints|Abstract Art,Wildlife,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),Where nature and imagination intertwine — art that breathes wild beauty.,p267-WL-170009-4030.jpg
WL-170010-5030,268,Ornamental Peacock in Teal and Terracotta,All Art Prints|Deals & Discounts|Digital Canvas Prints,Wildlife,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 3.5 ft (H) * 2 ft (B),Celebrate the elegance of nature with art that captures the majestic beauty of a peacock in every vibrant detail.,p268-WL-170010-5030.jpg
WL-170012-5030,270,Red-Crowned Cranes on Gold,All Art Prints|Deals & Discounts|Digital Canvas Prints,Wildlife,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"Elegant white red-crowned cranes soaring gracefully against a rich golden textured background, symbolizing peace, longevity, and good fortune.",p270-WL-170012-5030.jpg
WL-170014-5030,272,Geometric Leopard Portrait,All Art Prints|Deals & Discounts|Digital Canvas Prints|Abstract Art,Wildlife,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A striking geometric leopard portrait featuring intricate teal, gold, and ivory patterns, blending modern abstract design with bold elegance.",p272-WL-170014-5030.jpg
WL-170015-4030,273,Cheetah on the Arched Ledge,All Art Prints|Deals & Discounts|Digital Canvas Prints,Wildlife,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 2 ft (H) * 3 ft (B),"A sleek cheetah gracefully strides across a curved ledge, surrounded by elegant red floral accents and intricate architectural patterns, blending wildlife with contemporary artistic design.",p273-WL-170015-4030.jpg
WL-170016-5030,274,Peacock at the Palace Doorway,All Art Prints|Deals & Discounts|Digital Canvas Prints,Wildlife,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A majestic peacock stands gracefully before an ornate red palace doorway, its vibrant blue and green plumage creating a striking contrast against the weathered architecture and serene waters below.",p274-WL-170016-5030.jpg
WL-170017-5030,275,Golden Tiger in Motion,All Art Prints|Deals & Discounts|Digital Canvas Prints,Wildlife,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A striking artistic portrait of a majestic tiger emerging from flowing golden paint splashes, symbolizing strength, courage, and untamed beauty in a modern minimalist style.",p275-WL-170017-5030.jpg
WL-170018-5030,276,White Lion Among Wildflowers,All Art Prints|Deals & Discounts|Digital Canvas Prints,Wildlife,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A majestic white lion stands gracefully amidst delicate wildflowers, overlooking serene mountain peaks in soft pastel hues, symbolizing strength, wisdom, and tranquility.",p276-WL-170018-5030.jpg
WL-170019-6030,277,Deer by the Misty Forest Stream,All Art Prints|Deals & Discounts|Digital Canvas Prints,Wildlife,3×5 ft (36×60 in),6 ft (H) * 3 ft (B); 4 ft (H) * 2 ft (B),"Two deer stand by a misty forest stream lined with birch trees, songbirds perched among the branches and one in flight overhead.",p277-WL-170019-6030.jpg
