art_code,page,name,categories,subcategory,size_label,brochure_sizes,caption
SL-150002-4030,233,Yellow Calla Blooms in Glass Vases,All Art Prints|Deals & Discounts|Digital Canvas Prints,Still Life,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),A stunning modern art piece featuring elegant yellow blooms and lush green leaves in sleek glass vases — perfect for promoting nature-inspired décor and contemporary sophistication.
SL-150003-4030,234,Modern Glass Reflections,All Art Prints|Deals & Discounts|Digital Canvas Prints,Abstract Art,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),Where art meets elegance — modern glass reflections that redefine sophistication and style.
SL-150004-5030,235,Translucent Tulips Trio,All Art Prints|Deals & Discounts|Digital Canvas Prints,Still Life,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),Where elegance blooms — art that speaks the language of nature.
SL-150005-5030,236,Boho Botanical Leaves and Pampas,All Art Prints|Deals & Discounts|Digital Canvas Prints,Still Life,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 2.5 ft (B),"Boho botanical art with leaves, pampas, and beaded accents in earthy tones."
SL-150007-5030,238,Golden Brass Vases with White Blossoms,All Art Prints|Deals & Discounts|Digital Canvas Prints,Still Life,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),Golden brass vases with delicate white blossoms against a painterly teal and gold backdrop
SL-150010-5030,241,Potted Olive Tree on a Tuscan Wall,All Art Prints|Deals & Discounts|Digital Canvas Prints,Still Life,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),Potted olive tree with ripe black olives against a rustic Tuscan wall.
SL-150011-5030,242,Boho Vase with Dried Terracotta Stems,All Art Prints|Deals & Discounts|Digital Canvas Prints,Still Life,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),Boho vase with dried floral stems in warm terracotta tones
SL-150012-5030,243,Minimalist Vases with Dried Botanicals,All Art Prints|Deals & Discounts|Digital Canvas Prints,Still Life,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),Minimalist vases with dried botanicals in warm earthy tones.
SL-150014-5030,245,Butterflies in Flight,All Art Prints|Deals & Discounts|Digital Canvas Prints,Abstract Art,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),Let your dreams take flight — embrace the beauty of transformation
SL-150015-4035,246,Red Poppies in a Weathered Boat,All Art Prints|Deals & Discounts|Digital Canvas Prints,Landscapes,3×4 ft (36×48 in),4 ft (H) * 3.5 ft (B); 3 ft (H) * 2.5 ft (B),Where tranquility meets beauty — a poetic blend of nature's calm and artistic elegance.
SL-150016-4030,247,Lone Boatman on a Marbled Sea,All Art Prints|Deals & Discounts|Digital Canvas Prints,Abstract Art,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),Embrace serenity and adventure — where art meets the calm of endless horizons.
SL-150017-5030,248,Sailboat in Bold Colour,All Art Prints|Deals & Discounts|Digital Canvas Prints,Abstract Art,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 2 ft (B),Sail into a world of color and creativity — where art meets endless horizons
SL-150018-4030,249,Forest of Colour Reflected,All Art Prints|Deals & Discounts|Digital Canvas Prints,Abstract Art,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3.5 ft (H) * 2 ft (B),Experience the harmony of nature and color — where every shade tells a story of life and creativity.
SL-150019-5030,250,Yellow Umbrella in the Rain,All Art Prints|Deals & Discounts|Digital Canvas Prints,Abstract Art,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),Bring color to every storm — where creativity shines through even the rain.
SL-150020-5030,251,Green Canopy Over the Old Facade,All Art Prints|Deals & Discounts|Digital Canvas Prints,Landscapes,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 2 ft (B),Where nature meets design — inspiring growth in every detail.
SL-150021-5030,252,Faces in the Golden Forest,All Art Prints|Deals & Discounts|Digital Canvas Prints,Abstract Art,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),Where nature meets humanity — a breathtaking fusion of forest and soul in golden harmony.
SL-150023-5030,254,Stylized Blossoms and Butterflies,All Art Prints|Deals & Discounts|Digital Canvas Prints,Still Life,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),An elegant floral artwork featuring stylized blossoms in decorative vases with delicate butterflies creating a soft and sophisticated botanical composition
