"art_code","product_id","canva_page","why"
"RK-010033-3050","14617","37","pg-yh-updated.xlsx names #14617 for Canva page 37; #31829 ""Krishna Flute Panorama"" carries the same code and keeps its letter"
"TP-050004-5030","229","141","pg-yh-updated.xlsx names #229 for Canva page 141; #8474 ""Divine Lord Balaji Temple"" carries the same code and keeps its letter"
"TP-050013-5030","15730","150","pg-yh-updated.xlsx names #15730 for Canva page 150; #31890 ""Lord Vishnu Golden Halo"" carries the same code and keeps its letter"
"LR-070005-5030","15913","161","pg-yh-updated.xlsx names #15913 for Canva page 161; #17543 ""Lord Balaji Idol"" carries the same code and keeps its letter"
"HD-080001-5030","8398","167","pg-yh-updated.xlsx names #8398 for Canva page 167; #26875 ""Mahavatar Babaji"" carries the same code and keeps its letter"
"LB-090001-3050","220","197","pg-yh-updated.xlsx names #220 for Canva page 197; #7839 ""Buddha Lotus Serenity"" carries the same code and keeps its letter"
"SL-150001-4030","8805","232","pg-yh-updated.xlsx names #8805 for Canva page 232; #7781 ""Luxurious Modern Floral Abstract Vase Wa"" carries the same code from 26 Sep and keeps a letter. Note: its own picture, a four-panel cafe wall, does not match the page; the owner may want to look"
"RK-010011-5030","33925","15","pg-yh-updated.xlsx names #33925 for Canva page 15; #7824 ""Bal Krishna Flute Canvas Wall Art – 60 x"" carries the same code from 26 Sep and keeps a letter"
"TA-210001-6030","34725","374","pg-yh-updated.xlsx names #34725 for Canva page 374; #8424 ""Divine Varanasi Ganga Aarti Canvas Wall"" carries the same code from 26 Sep and keeps a letter"
"TA-210002-6030","34732","375","pg-yh-updated.xlsx names #34732 for Canva page 375; #8494 ""Sacred Kedarnath Temple with Lord Shiva"" carries the same code from 26 Sep and keeps a letter"
"RK-010002-3050","11577","6","pg-yh-updated.xlsx names #11577 for Canva page 6; #11541 ""Premium Radha Krishna Love Wall Art (36"" and #11617 ""Radha-Krishna Canvas Wall Art 24x36 Inch"" carry the same code from 26 Sep and keep a letter"
"RK-010090-5030","34147","94","pg-yh-updated.xlsx names #34147 for Canva page 94; #14678 ""Golden Krishna Temple Idol Canvas Wall A"" carries the same code from 26 Sep and keeps a letter"
"LR-070004-5030","34243","160","pg-yh-updated.xlsx names #34243 for Canva page 160; #17212 ""Beautiful Lord Krishna Statue Canvas Wal"" carries the same code from 26 Sep and keeps a letter"
"RK-010044-5030","18600","48","pg-yh-updated.xlsx names #18600 for Canva page 48; #19453 ""Golden Krishna Flute Player Canvas Wall"" carries the same code from 26 Sep and keeps a letter. Note: its own picture, a different golden Krishna among lamps, does not match the page; the owner may want to look"
"RK-010063-4030","34855","67","pg-yh-updated.xlsx names #34855 for Canva page 67; #24592 ""Veena Under Violet Moon Canvas Wall Art"" carries the same code from 26 Sep and keeps a letter"
"RK-010087-5030","27325","91","pg-yh-updated.xlsx names #27325 for Canva page 91; #24836 ""Divine Blessings Gathering Canvas Wall A"" carries the same code from 26 Sep and keeps a letter. Note: its own picture, Radha and Krishna on a branch, does not match the page; the owner may want to look"
