art_code,page,name,categories,subcategory,size_label,brochure_sizes,caption,image
LI-190001-3050,304,Blossom Branches in a Green Vase,All Art Prints|Deals & Discounts|Digital Canvas Prints,Still Life,3×5 ft (36×60 in),3 ft (H) * 5 ft (B); 2 ft (H) * 3.5 ft (B),"The image of a vase with blossoming flowers symbolizes growth, freshness, and harmony in Vastu, bringing positivity and new opportunities when placed in the east or northeast direction.",p304-LI-190001-3050.jpg
LI-190006-5030,309,Our Lady in Bloom,All Art Prints|Deals & Discounts|Digital Canvas Prints|Christian Art,Living Room Decor,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),Grace in every detail — where faith meets timeless artistry.,p309-LI-190006-5030.jpg
LI-190015-4030,318,Lotus Pond in Gold Leaf,All Art Prints|Deals & Discounts|Digital Canvas Prints|Abstract Art,Living Room Decor,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),Where serenity blooms — embrace purity peace and timeless beauty.,p318-LI-190015-4030.jpg
LI-190016-5030,319,Ballerina in White,All Art Prints|Deals & Discounts|Digital Canvas Prints|Abstract Art,Living Room Decor,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 2 ft (B),Celebrate the art of freedom — where every brushstroke dances with emotion and grace!,p319-LI-190016-5030.jpg
LI-190017-4030,320,Dancer in Amber Light,All Art Prints|Deals & Discounts|Digital Canvas Prints|Abstract Art,Living Room Decor,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),"Where grace meets light — a timeless dance of color, movement, and elegance that ignites the soul.",p320-LI-190017-4030.jpg
LI-190018-4030,321,Woman in the Yellow Gown,All Art Prints|Deals & Discounts|Digital Canvas Prints|Abstract Art,Living Room Decor,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),"Elegance redefined — where art, fashion, and modern grace flow in timeless harmony.",p321-LI-190018-4030.jpg
LI-190019-4030,322,Lotus Reverie,All Art Prints|Deals & Discounts|Digital Canvas Prints|Abstract Art,Living Room Decor,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),"Embrace timeless elegance — where art, grace, and serenity unite in every detail.",p322-LI-190019-4030.jpg
LI-190020-6030,323,The Cellist,All Art Prints|Deals & Discounts|Digital Canvas Prints|Abstract Art,Living Room Decor,3×5 ft (36×60 in),6 ft (H) * 3 ft (B); 4 ft (H) * 2 ft (B),Where passion meets melody — a mesmerizing fusion of art and music that speaks to the soul.,p323-LI-190020-6030.jpg
LI-190021-4030,324,Song of the Deer,All Art Prints|Deals & Discounts|Digital Canvas Prints|Abstract Art,Living Room Decor,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),"Where art, music, and nature unite — a timeless symphony of beauty and grace.",p324-LI-190021-4030.jpg
LI-190023-5030,326,Chestnut Horse in Motion,All Art Prints|Deals & Discounts|Digital Canvas Prints,Seven Horses,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"Fiery chestnut horse with a flowing mane, painted in bold expressive brushstrokes.",p326-LI-190023-5030.jpg
LI-190025-5030,328,Black Stallion on Red,All Art Prints|Deals & Discounts|Digital Canvas Prints,Seven Horses,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),Bold black stallion striding forward against a fiery red backdrop.,p328-LI-190025-5030.jpg
LI-190026-5030,329,White Horse at Sunset,All Art Prints|Deals & Discounts|Digital Canvas Prints,Seven Horses,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),"A majestic white horse charges through golden waves beneath a blazing sunset, embodying pure power and freedom.",p329-LI-190026-5030.jpg
LI-190027-5030,330,Whimsical Cats in Colour,All Art Prints|Deals & Discounts|Digital Canvas Prints|Abstract Art,Living Room Decor,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),"Unleash the art of curiosity — where color, charm, and creativity come alive.",p330-LI-190027-5030.jpg
LI-190028-4030,331,The Archer in the War Bonnet,All Art Prints|Deals & Discounts|Digital Canvas Prints,Living Room Decor,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),Unleash your inner warrior — aim with passion strike with purpose.,p331-LI-190028-4030.jpg
LI-190030-5030,333,Tall Ship in Sepia,All Art Prints|Deals & Discounts|Digital Canvas Prints|Landscapes,Living Room Decor,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),Set sail toward new horizons — where ambition meets adventure.,p333-LI-190030-5030.jpg
LI-190031-4030,334,Festive Street at Dusk,All Art Prints|Deals & Discounts|Digital Canvas Prints|Landscapes,Living Room Decor,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),Where every street sparkles with wonder — discover the magic of everyday moments.,p334-LI-190031-4030.jpg
LI-190034-5030,337,Bougainvillea at the Shuttered Window,All Art Prints|Deals & Discounts|Digital Canvas Prints|Landscapes,Living Room Decor,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A white shuttered window on a pink wall, framed by cascading pink bougainvillea, with a terracotta vase resting on the sill.",p337-LI-190034-5030.jpg
LI-190036-4040,339,Pastel Arch with Palms and Tigers,All Art Prints|Deals & Discounts|Digital Canvas Prints|Abstract Art,Living Room Decor,2.5×3 ft (30×36 in),4 ft (H) * 4 ft (B); 3 ft (H) * 3 ft (B),"A charming pastel artwork featuring an elegant arched doorway framed by stylized palm trees, decorative foliage, and two majestic tigers.",p339-LI-190036-4040.jpg
LI-190038-5030,341,White Bird and Glass Vase,All Art Prints|Deals & Discounts|Digital Canvas Prints|Still Life,Living Room Decor,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 2.5 ft (B),"A serene artwork featuring a graceful white bird in flight beside delicate white flowers in a clear glass vase, evoking peace, purity, and elegance.",p341-LI-190038-5030.jpg
LI-190039-5030,342,Bodhi Leaf Village,All Art Prints|Deals & Discounts|Digital Canvas Prints|Abstract Art,Living Room Decor,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 2.5 ft (B),"A delicate Bodhi leaf artwork featuring colorful flowers, charming cottages, and flourishing trees, symbolizing harmony, nature, growth, and the peaceful beauty of village life.",p342-LI-190039-5030.jpg
LI-190040-5030,343,Translucent Petals in Blush,All Art Prints|Deals & Discounts|Digital Canvas Prints|Abstract Art,Living Room Decor,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 2.5 ft (B),"A graceful abstract floral artwork featuring delicate translucent petals in soft beige, blush, charcoal, and gray tones.",p343-LI-190040-5030.jpg
LI-190041-5030,344,Overlapping Tropical Leaves,All Art Prints|Deals & Discounts|Digital Canvas Prints|Abstract Art,Living Room Decor,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 2.5 ft (B),"A modern botanical abstract featuring overlapping tropical leaves in soft beige, charcoal, gray, and muted terracotta tones.",p344-LI-190041-5030.jpg
LI-190042-5030,345,Fan Leaves in Beige and White,All Art Prints|Deals & Discounts|Digital Canvas Prints|Abstract Art,Living Room Decor,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A modern botanical artwork featuring elegant fan-shaped leaves in soft beige and white tones, creating a calm, sophisticated aesthetic.",p345-LI-190042-5030.jpg
LI-190043-5030,346,Deer with Tree Antlers,All Art Prints|Deals & Discounts|Digital Canvas Prints|Wildlife,Living Room Decor,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A striking modern illustration of elegant deer with tree-like antlers standing amidst a stylized forest, in bold black-and-white silhouettes against a vibrant green background.",p346-LI-190043-5030.jpg
LI-190044-4030,347,Cubist Woman in Orange,All Art Prints|Deals & Discounts|Digital Canvas Prints|Abstract Art,Living Room Decor,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 2 ft (H) * 3 ft (B),"A captivating abstract portrait of a serene woman created with geometric shapes and soft earthy tones, with bold orange accents.",p347-LI-190044-4030.jpg
LI-190045-5030,348,Cubist Woman in Earth Tones,All Art Prints|Deals & Discounts|Digital Canvas Prints|Abstract Art,Living Room Decor,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A captivating abstract portrait of a woman created in a modern cubist style, featuring geometric shapes and warm earthy tones.",p348-LI-190045-5030.jpg
