art_code	category	sub_category	link	product_id	title	status
TMP-1000	All Art Prints | Canvas Prints | Deals &amp; Discounts	Wildlife	https://theartframer.us/product/the-penguin-show-poster/	115	The Penguin Show Poster	publish
TMP-1001	All Art Prints | Colouring Posters | Deals &amp; Discounts	Still Life	https://theartframer.us/product/il-lemone-poster/	123	IL Lemone Poster	publish
LI - 190002-3050	All Art Prints | Deals &amp; Discounts	Abstract Art | Living Room Decor | Still Life	https://theartframer.us/product/nina-flagstad-kvorning/	141	Minimalist Blossom Still Life Canvas Wall Art 5×3 Feet – Floating Frame in Gold – Living Room Wall Décor	publish
LI - 190003-5030	All Art Prints | Deals &amp; Discounts	Abstract Art | Landscapes | Living Room Decor	https://theartframer.us/product/preppy-poster-collection/	148	Abstract Floral Sunrise Canvas Wall Art 5×3 Feet – Floating Frame in Gold – Living Room Wall Décor	publish
TMP-1002	All Art Prints | Colouring Posters | Deals &amp; Discounts | Gallery Prints	Abstract Art	https://theartframer.us/product/geometric-shapes-poster/	177	Geometric Shapes poster	publish
TMP-1003	All Art Prints | Colouring Posters | Deals &amp; Discounts		https://theartframer.us/product/balance-poster/	199	Balance Poster	publish
TMP-1004	All Art Prints | Colouring Posters | Deals &amp; Discounts	Wildlife	https://theartframer.us/product/japanese-butterfly-ii-poster/	211	Japanese Butterfly II Poster	publish
LB - 090001-3050	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints | Posters	Buddha	https://theartframer.us/product/colorful-wave-poster/	220	Serene Buddha with Lotus Canvas Wall Art 4×3 Feet – Floating Frame in Gold – Meditation Room Wall Décor	publish
RK - 010010-5030	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints | Gallery Prints | Wall Art	Radha Krishna	https://theartframer.us/product/krishna-moonlight-canvas-wall-art/	223	Krishna Moonlight Canvas Wall Art – 36 x 60 Inches Premium Spiritual Digital Print | Elegant Wall Decor	publish
TP - 050004-5030	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Hindu Deities | Tirupati Balaji	https://theartframer.us/product/posters-room-decor-home/	229	Lord Venkateswara Temple Canvas Wall Art 2×3 Feet – Floating Frame in Gold – Pooja Room & Home Mandir Décor	publish
