art_code,page,name,categories,subcategory,size_label,brochure_sizes,caption,image
LS-030013-5030,117,Shiva and Parvati in Watercolour,All Art Prints|Deals & Discounts|Digital Canvas Prints,Lord Shiva,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A mesmerizing artistic portrayal of Lord Shiva and Goddess Parvati, their serene faces blending into a vibrant watercolor composition. Rich colors, floral accents, and graceful details beautifully symbolize divine love, harmony, and the eternal union of masculine and feminine energy",p117-LS-030013-5030.jpg
LS-030014-5030,118,The Cosmic Dance in Flame,All Art Prints|Deals & Discounts|Digital Canvas Prints,Lord Shiva,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A breathtaking depiction of Lord Shiva and Goddess Parvati performing the divine cosmic dance, surrounded by radiant flames and celestial light. Set against a mesmerizing universe, the artwork symbolizes the eternal balance of creation, destruction, love, and cosmic harmony",p118-LS-030014-5030.jpg
LS-030015-5030,119,Tandava Among the Planets,All Art Prints|Deals & Discounts|Digital Canvas Prints,Lord Shiva,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A powerful depiction of Lord Shiva and Goddess Parvati performing the cosmic Tandava dance, surrounded by celestial planets, lightning, and divine energy, symbolizing creation and destruction.",p119-LS-030015-5030.jpg
SH-040010-4030,132,Galloping Herd in Red and Amber,All Art Prints|Deals & Discounts|Digital Canvas Prints|Abstract Art,Seven Horses,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),"A vibrant abstract artwork depicting a powerful herd of galloping horses in rich shades of red, orange, black, brown, and ivory. Bold geometric forms, dynamic movement, and warm earthy tones create a dramatic composition that symbolizes freedom, strength, and energy.",p132-SH-040010-4030.jpg
SH-040011-3060,133,Seven White Horses at Sunrise,All Art Prints|Deals & Discounts|Digital Canvas Prints,Seven Horses,3×5 ft (36×60 in),3 ft (H) * 6 ft (B); 3 ft (H) * 4 ft (B),"A breathtaking scene of seven majestic white horses galloping across a sunlit landscape, their flowing manes and powerful stride symbolizing strength, freedom, success, and unstoppable energy.",p133-SH-040011-3060.jpg
SH-040012-5030,134,White Horses with Flame Manes,All Art Prints|Deals & Discounts|Digital Canvas Prints,Seven Horses,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A herd of white horses with golden, flame-like manes gallops through a golden sky beneath a glowing sun, surrounded by blooming orange and yellow flowers.",p134-SH-040012-5030.jpg
TP-050007-3050,144,Vishnu Reclining in the Temple,All Art Prints|Deals & Discounts|Digital Canvas Prints|Hindu Deities,Tirupati Balaji,3×5 ft (36×60 in),3 ft (H) * 5 ft (B); 2 ft (H) * 3 ft (B),"The image of Lord Vishnu in a resting form symbolizes peace, divine protection, and stability, bringing harmony and positive energy as per Vastu.",p144-TP-050007-3050.jpg
TP-050008-5030,145,Venkateswara in Golden Light,All Art Prints|Deals & Discounts|Digital Canvas Prints|Hindu Deities,Tirupati Balaji,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 2 ft (B),"This image of Lord Venkateswara radiates divine grace and abundance, attracting prosperity, devotion, and spiritual upliftment as per Vastu.",p145-TP-050008-5030.jpg
TP-050014-6030,151,Venkateswara with Goddess Lakshmi,All Art Prints|Deals & Discounts|Digital Canvas Prints|Hindu Deities,Tirupati Balaji,3×5 ft (36×60 in),6 ft (H) * 3 ft (B); 4 ft (H) * 2 ft (B),"A beautiful devotional artwork featuring Lord Venkateswara (Balaji) standing majestically behind Goddess Lakshmi, who is seated on a blooming lotus showering prosperity and blessings. Adorned with vibrant flower garlands, golden ornaments, and traditional temple décor, the sacred scene symbolizes divine grace, wealth, and spiritual abundance",p151-TP-050014-6030.jpg
TP-050015-6030,152,Venkateswara Garlanded in the Shrine,All Art Prints|Deals & Discounts|Digital Canvas Prints|Hindu Deities,Tirupati Balaji,3×5 ft (36×60 in),6 ft (H) * 3 ft (B); 4 ft (H) * 2 ft (B),"Lord Venkateshwara idol adorned with intricate gold jewelry, elegant silk garments, and vibrant flower garlands, radiating divine grace and spiritual serenity in a sacred temple setting.",p152-TP-050015-6030.jpg
MG-060003-5030,155,Murugan Beside His Peacock,All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A stunning devotional artwork of Lord Murugan standing beside his peacock in a beautifully illuminated temple, symbolizing courage, wisdom, and divine protection.",p155-MG-060003-5030.jpg
MG-060004-5030,156,"Shanmukha, Murugan of Six Faces",All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A magnificent devotional artwork of Lord Murugan in his six-faced form (Shanmukha), standing before a grand temple under a moonlit sky, symbolizing courage, wisdom, and divine protection.",p156-MG-060004-5030.jpg
LR-070004-5030,160,Lord Rama Garlanded in Flowers,All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A divine depiction of Lord Rama radiating grace and devotion, symbolizing unwavering faith and spiritual strength.",p160-LR-070004-5030.jpg
LR-070007-5030,163,Ram Lala in the Carved Shrine,All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 2.5 ft (B),"A beautifully adorned Ram Lala idol stands majestically in a richly carved temple shrine, decorated with vibrant flower garlands, intricate gold ornaments, and sacred offerings, creating a serene and devotional atmosphere.",p163-LR-070007-5030.jpg
LR-070008-5030,164,Lord Rama in Red and Gold,All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 2.5 ft (B),"A magnificent statue of Lord Rama stands adorned in vibrant red attire, intricate gold ornaments, and fragrant flower garlands. Surrounded by a beautifully decorated floral arch and traditional offerings, the divine image radiates strength, righteousness, and spiritual grace",p164-LR-070008-5030.jpg
LR-070009-5030,165,Lord Rama Beneath the Temple Arch,All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 2.5 ft (B),"A majestic idol of Lord Rama stands beneath an ornate temple arch, adorned in traditional white and gold attire, jeweled ornaments, and fragrant floral garlands. Holding his sacred bow with a raised hand in blessing, the artwork radiates divine strength, righteousness, and serene devotion",p165-LR-070009-5030.jpg
LR-070010-3050,166,Ram Darbar,All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×5 ft (36×60 in),3 ft (H) * 5 ft (B); 2.5 ft (H) * 4 ft (B),"Ram Darbar — Lord Rama and Sita enthroned beneath a golden canopy, Lakshmana and Bharata attending with chowries, and Hanuman kneeling in devotion at their feet.",p166-LR-070010-3050.jpg
HD-080009-5030,175,Surya on the Seven-Horse Chariot,All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 2 ft (B),"Lord Surya rising in golden light, a lotus in each hand, drawn across the sky by the seven horses of his chariot with Aruna at the reins.",p175-HD-080009-5030.jpg
HD-080014-5030,180,Veer Hanuman Triumphant,All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),"A many-armed Veer Hanuman standing triumphant over vanquished demons, weapons raised and mace at his side, blazing with the light of devotion and strength.",p180-HD-080014-5030.jpg
HD-080018-5030,184,Lakshmi on the Lotus,All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),Awaken divine abundance — let prosperity and peace bloom within you.,p184-HD-080018-5030.jpg
HD-080019-5030,185,"Durga, Lakshmi, Kali and Saraswati",All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"Divine goddesses Durga, Lakshmi, Kali, and Saraswati united in a mythic Hindu tableau.",p185-HD-080019-5030.jpg
